"country","latitude","longitude","total"
"Afghanistan","33.93911","67.709953","3"
"Albania","41.153332","20.168331","2"
"Algeria","28.033886","1.659626","3"
"American Samoa","-14.270972","-170.132217","1"
"Andorra","42.546245","1.601554","1"
"Angola","-11.202692","17.873887","1"
"Argentina","-38.416097","-63.616672","119"
"Armenia","40.069099","45.038189","4"
"Australia","-25.274398","133.775136","124"
"Austria","47.516231","14.550072","40"
"Azerbaijan","40.143105","47.576927","1"
"Bahamas","25.03428","-77.39628","1"
"Bangladesh","23.684994","90.356331","13"
"Barbados","13.193887","-59.543198","1"
"Belarus","53.709807","27.953389","3"
"Belgium","50.503887","4.469936","39"
"Bhutan","27.514162","90.433601","1"
"Bolivia","-16.290154","-63.588653","5"
"Bosnia and Herzegovina","43.915886","17.679076","7"
"Brazil","-14.235004","-51.92528","81"
"Brunei","4.535277","114.727669","1"
"Bulgaria","42.733883","25.48583","9"
"Burkina Faso","12.238333","-1.561593","1"
"Cambodia","12.565679","104.990963","4"
"Cameroon","7.369722","12.354722","2"
"Canada","56.130366","-106.346771","351"
"Cayman Islands","19.513469","-80.566956","1"
"Chile","-35.675147","-71.542969","35"
"China","35.86166","104.195397","118"
"Colombia","4.570868","-74.297333","10"
"Costa Rica","9.748917","-83.753428","5"
"Croatia","45.1","15.2","17"
"Cuba","21.521757","-77.781167","1"
"Cyprus","35.126413","33.429859","1"
"Czech Republic","49.817492","15.472962","28"
"Denmark","56.26392","9.501785","33"
"Dominican Republic","18.735693","-70.162651","14"
"Ecuador","-1.831239","-78.183406","11"
"Egypt","26.820553","30.802498","16"
"El Salvador","13.794185","-88.89653","1"
"Estonia","58.595272","25.013607","9"
"Finland","61.92411","25.748151","39"
"France","46.227638","2.213749","277"
"Gabon","-0.803689","11.609444","1"
"Georgia","42.315407","43.356892","8"
"Germany","51.165691","10.451526","196"
"Ghana","7.946527","-1.023194","1"
"Greece","39.074208","21.824312","35"
"Guam","13.444304","144.793731","1"
"Guatemala","15.783471","-90.230759","2"
"Guinea-Bissau","11.803749","-15.180413","2"
"Haiti","18.971187","-72.285215","2"
"Honduras","15.199999","-86.241905","1"
"Hong Kong","22.396428","114.109497","40"
"Hungary","47.162494","19.503304","9"
"Iceland","64.963051","-19.020835","8"
"India","20.593684","78.96288","611"
"Indonesia","-0.789275","113.921327","52"
"Iran","32.427908","53.688046","42"
"Iraq","33.223191","43.679291","3"
"Ireland","53.41291","-8.24389","45"
"Isle of Man","54.236107","-4.548056","1"
"Israel","31.046051","34.851612","45"
"Italy","41.87194","12.56738","189"
"Jamaica","18.109581","-77.297508","1"
"Japan","36.204824","138.252924","396"
"Jordan","30.585164","36.238414","2"
"Kazakhstan","48.019573","66.923684","13"
"Kenya","-0.023559","37.906193","2"
"Kosovo","42.602636","20.902977","2"
"Kuwait","29.31166","47.481766","2"
"Kyrgyzstan","41.20438","74.766098","3"
"Laos","19.85627","102.495496","2"
"Latvia","56.879635","24.603189","3"
"Lebanon","33.854721","35.862285","4"
"Lithuania","55.169438","23.881275","6"
"Luxembourg","49.815273","6.129583","2"
"Macedonia","41.608635","21.745275","2"
"Malaysia","4.210484","101.975766","61"
"Maldives","3.202778","73.22068","1"
"Malta","35.937496","14.375416","2"
"Mauritius","-20.348404","57.552152","1"
"Mexico","23.634501","-102.552784","86"
"Monaco","43.750298","7.412841","1"
"Mongolia","46.862496","103.846656","1"
"Morocco","31.791702","-7.09262","19"
"Mozambique","-18.665695","35.529562","1"
"Myanmar","21.913965","95.956223","1"
"Nepal","28.394857","84.124008","4"
"Netherlands","52.132633","5.291266","65"
"Netherlands Antilles","12.226079","-69.060087","2"
"New Zealand","-40.900557","174.885971","21"
"Nigeria","9.081999","8.675277","18"
"Norway","60.472024","8.468946","33"
"Pakistan","30.375321","69.345116","18"
"Palestine","31.952162","35.233154","5"
"Panama","8.537981","-80.782127","2"
"Paraguay","-23.442503","-58.443832","1"
"Peru","-9.189967","-75.015152","14"
"Philippines","12.879721","121.774017","134"
"Poland","51.919438","19.145136","43"
"Portugal","39.399872","-8.224454","23"
"Puerto Rico","18.220833","-66.590149","10"
"Qatar","25.354826","51.183884","3"
"Romania","45.943161","24.96676","25"
"Russia","61.52401","105.318756","108"
"Rwanda","-1.940278","29.873888","1"
"Senegal","14.497401","-14.452362","1"
"Serbia","44.016521","21.005859","15"
"Singapore","1.352083","103.819836","20"
"Slovakia","48.669026","19.699024","10"
"Slovenia","46.151241","14.995463","11"
"South Africa","-30.559482","22.937506","45"
"South Korea","35.907757","127.766922","100"
"Spain","40.463667","-3.74922","195"
"Sri Lanka","7.873054","80.771797","8"
"Suriname","3.919305","-56.027783","1"
"Sweden","60.128161","18.643501","55"
"Switzerland","46.818188","8.227512","33"
"Taiwan","23.69781","120.960515","18"
"Tanzania","-6.369028","34.888822","1"
"Thailand","15.870032","100.992541","50"
"Timor-Leste","-8.874217","125.727539","1"
"Trinidad and Tobago","10.691803","-61.222503","4"
"Tunisia","33.886917","9.537499","1"
"Turkey","38.963745","35.243322","115"
"UK","55.378051","-3.435973","509"
"USA","37.09024","-95.712891","3444"
"Uganda","1.373333","32.290275","4"
"Ukraine","48.379433","31.16558","14"
"United Arab Emirates","23.424076","53.847818","9"
"Uruguay","-32.522779","-55.765835","8"
"Uzbekistan","41.377491","64.585262","2"
"Venezuela","6.42375","-66.58973","17"
"Vietnam","14.058324","108.277199","8"
